"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","API POST Login","POST - Login","0","0","4","0","0"
"","API DELETE Catalog","DELETE - Catalog (No token)","0","0","1","0","0"
"","API POST Catalog","POST - Catalog (Empty Description)","0","0","1","0","0"
"","API POST Catalog","POST - Catalog (No token)","0","0","1","0","0"
"","API PUT Catalog","PUT - Catalog (Not existing)","0","0","1","0","0"
"","API PUT Catalog","PUT - Catalog (No token)","0","0","1","0","0"
"","API POST Catalog","POST - Catalog (Empty Name and Description)","0","0","1","0","0"
"","API PUT Catalog","PUT - Catalog (Empty Description)","0","0","1","0","0"
"","API GET Catalog","GET - Catalog (Filter with values)","0","0","1","0","0"
"","API GET Catalog","GET - Catalog (No results)","0","0","1","0","0"
"","API DELETE Catalog","DELETE - Catalog","0","0","1","0","0"
"","API GET Catalog","GET - Catalog (Filter retrieve no values)","0","0","1","0","0"
"","API DELETE Catalog","DELETE - Catalog (Not existing ID)","0","0","1","0","0"
"","API PUT Catalog","PUT - Catalog","0","0","1","0","0"
"","API GET Catalog","GET - Catalog (No token)","0","0","1","0","0"
"","API DELETE Catalog","DELETE - Catalog (Wrong id format)","0","0","1","0","0"
"","API PUT Catalog","PUT - Catalog (Empty ID)","0","0","1","0","0"
"","API PUT Catalog","PUT - Catalog (Empty Name)","0","0","1","0","0"
"","API POST Catalog","POST - Catalog (Check values)","0","0","1","0","0"
"","API POST Catalog","POST - Catalog (Empty Name)","0","0","1","0","0"
