"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 26 11:47:46 CEST 2025","Mon May 26 11:47:46 CEST 2025","78","","API POST Login","","POST - Login","","POST - Login",""
"passed","Mon May 26 11:47:38 CEST 2025","Mon May 26 11:47:42 CEST 2025","3901","","API DELETE Catalog","","DELETE - Catalog (No token)","","DELETE - Catalog (No token)",""
"passed","Mon May 26 11:47:44 CEST 2025","Mon May 26 11:47:44 CEST 2025","130","","API POST Catalog","","POST - Catalog (Empty Description)","","POST - Catalog (Empty Description)",""
"passed","Mon May 26 11:47:43 CEST 2025","Mon May 26 11:47:44 CEST 2025","589","","API POST Catalog","","POST - Catalog (No token)","","POST - Catalog (No token)",""
"passed","Mon May 26 11:47:45 CEST 2025","Mon May 26 11:47:45 CEST 2025","207","","API PUT Catalog","","PUT - Catalog (Not existing)","","PUT - Catalog (Not existing)",""
"passed","Mon May 26 11:47:46 CEST 2025","Mon May 26 11:47:46 CEST 2025","84","","API POST Login","","POST - Login","","POST - Login",""
"passed","Mon May 26 11:47:45 CEST 2025","Mon May 26 11:47:45 CEST 2025","96","","API PUT Catalog","","PUT - Catalog (No token)","","PUT - Catalog (No token)",""
"passed","Mon May 26 11:47:44 CEST 2025","Mon May 26 11:47:45 CEST 2025","147","","API POST Catalog","","POST - Catalog (Empty Name and Description)","","POST - Catalog (Empty Name and Description)",""
"passed","Mon May 26 11:47:45 CEST 2025","Mon May 26 11:47:45 CEST 2025","136","","API PUT Catalog","","PUT - Catalog (Empty Description)","","PUT - Catalog (Empty Description)",""
"passed","Mon May 26 11:47:43 CEST 2025","Mon May 26 11:47:43 CEST 2025","298","","API GET Catalog","","GET - Catalog (Filter with values)","","GET - Catalog (Filter with values)",""
"passed","Mon May 26 11:47:42 CEST 2025","Mon May 26 11:47:43 CEST 2025","124","","API GET Catalog","","GET - Catalog (No results)","","GET - Catalog (No results)",""
"passed","Mon May 26 11:47:42 CEST 2025","Mon May 26 11:47:42 CEST 2025","184","","API DELETE Catalog","","DELETE - Catalog","","DELETE - Catalog",""
"passed","Mon May 26 11:47:43 CEST 2025","Mon May 26 11:47:43 CEST 2025","324","","API GET Catalog","","GET - Catalog (Filter retrieve no values)","","GET - Catalog (Filter retrieve no values)",""
"passed","Mon May 26 11:47:42 CEST 2025","Mon May 26 11:47:42 CEST 2025","242","","API DELETE Catalog","","DELETE - Catalog (Not existing ID)","","DELETE - Catalog (Not existing ID)",""
"passed","Mon May 26 11:47:45 CEST 2025","Mon May 26 11:47:46 CEST 2025","229","","API PUT Catalog","","PUT - Catalog","","PUT - Catalog",""
"passed","Mon May 26 11:47:42 CEST 2025","Mon May 26 11:47:42 CEST 2025","122","","API GET Catalog","","GET - Catalog (No token)","","GET - Catalog (No token)",""
"passed","Mon May 26 11:47:42 CEST 2025","Mon May 26 11:47:42 CEST 2025","223","","API DELETE Catalog","","DELETE - Catalog (Wrong id format)","","DELETE - Catalog (Wrong id format)",""
"passed","Mon May 26 11:47:46 CEST 2025","Mon May 26 11:47:46 CEST 2025","89","","API POST Login","","POST - Login","","POST - Login",""
"passed","Mon May 26 11:47:45 CEST 2025","Mon May 26 11:47:45 CEST 2025","152","","API PUT Catalog","","PUT - Catalog (Empty ID)","","PUT - Catalog (Empty ID)",""
"passed","Mon May 26 11:47:45 CEST 2025","Mon May 26 11:47:45 CEST 2025","173","","API PUT Catalog","","PUT - Catalog (Empty Name)","","PUT - Catalog (Empty Name)",""
"passed","Mon May 26 11:47:44 CEST 2025","Mon May 26 11:47:44 CEST 2025","171","","API POST Catalog","","POST - Catalog (Check values)","","POST - Catalog (Check values)",""
"passed","Mon May 26 11:47:44 CEST 2025","Mon May 26 11:47:44 CEST 2025","172","","API POST Catalog","","POST - Catalog (Empty Name)","","POST - Catalog (Empty Name)",""
"passed","Mon May 26 11:47:46 CEST 2025","Mon May 26 11:47:46 CEST 2025","77","","API POST Login","","POST - Login","","POST - Login",""
